Unnamed: 0,reviews
75,"
Display brightness low light blinking
"
76,"
Awesome
"
77,"
Good
"
78,"
inf rad device not support on Samsung A/c,so that using another app get from google play store.camera good quality.
"
79,"
Good phone in this range.. except camera quality all things are just okay.. with this budget you should go for ut👍
"
80,"
I like the product
"
81,"
Good product
"
82,"
Normal use.
"
83,"
Great phone for the price. Good display, battery life, build, decent stereo speaker but avg. camera, good for the price tho...After disabling adds and removing bloatware, the phone is really good.
"
84,"
Screen quality and sound quality are very good. Camera is okay, cant expect much for this price range. The interface is pretty smooth. No issues with the battery, with heavy usage we can get it till the end of day.  Overall its a good.
"
85,"




                    The media could not be loaded.
                



 Nice 🙂
"
86,"
I like its taste and very smooth for teeth. Its really helpful to clean teeth.
"
87,"
Camera quality thik thak h to itni achi nhi h jitni company bta rhi h.Battery life good.After Android update phone apps legging.Don't update Android after purshasing mobile
"
88,"
Bad functionality & hence gave it a 3 star rating for the following reasons..1. Password lockscreen is too compact for the digits to be entered everytime. Attempting 4 times everytime, lol2. When it is sunny difficult to read the screen3. Even Samsung camera is all too good when compared to pictures shot with this4. Ph app updates sometimes clash with earlier versions for eg., clock. Don't know if android should be blamed or the Redmi ph updates 🤥 Hence i guess i had to make do with this for the cost @16000
"
89,"
Camera performance is just average because the reason isCamera is suddenly stopped when I click 10 or 15 minutesIts saw the device is too hotThat's why the device is very badAnd the second reason is youtube is suddenly strucked because i am watching the video with in five minutes atomatically.
"
90,"
Good product 👍
"
91,"
Battery backup poor
"
92,"
Was worries at first by reading negative revieww but now fully satisfied with the purchase, camera is not upto mark as a 64mp quad camera sometimes pics are too blur while using snapchat specially, performance is upto mark till now cant say about future, battery is also good,Point is u can buy this phone according to seeing the price and the features , it is a good phone🤔
"
93,"
Okay, Redmi note 10s is overall a good phone.  For people who needs a budget phone this is a good option.The manufacturing month of the phone is December 2021When I first turned on the phone , it seemed a bit slow.. After the initial set up and setting up google account, the UI stopped working. Got stuck for 1 minute literally..black screen.  Then I restarted it and updated the phone to MIUI 12.5.11 Stable. After that the phone is running smoothly. No lag. Nothing.You can uninstall several mi apps, otherwise you  need adb bloatware removal app. You can find videos on how to remove bloatwares in xiaomi phones in YouTube.Camera is good in this price range . I am not a photo Or selfie guy. It works for me.G95 processor  and its gpu is very good for gaming in medium settings.  I have played Call of duty mobile in medium settings and there was no noticeable drop in frame rates in multiplayer and BR. It was smooth.Wifi bluetooth and Proximity sensor are also working fine. No Issues.Brightness in outdoor is okayish.Overall the phone is fast after the update.The problems I found is1. YouTube videos are over contrasted and sharpened a bit. Watching YouTube videos suck in note 10s. When I looked for an answer, some one said in YouTube that it has to do with the g95 processor. I hope it will get resolved in next update. Videos on Amazon Prime and Netflix are fine.2. The screen flickered a lot. You can only observe it when you are in a dark room.It can be solved by going to developer options and disabling HW overlays. I will attach the screenshot.3. The display is not Super amoled as advertised in amazon. Just Amoled display. (Not a big problem)Overall the phone is pretty good. It has a good battery backup.I would suggest buying this phone for use as a secondary device .Not as a daily driver for watching videos and all.  It's a budget Smart phone.  G95 is an old chip. But a capable one.
"
94,"
Battery is really good. I love my phone.
"
95,"
Writing after 8 months of usage.Camera- very goodSpearker- good, better if had some more speaker effectBattery- in standby /talking normally battery stays for 2 days. Heavy YouTube usage for 6-7 hrs, battery comes for day. 10 to 60% it takes 35mins to charge, full charge takes approx 45min,Processing speed good.Overall phone is good with no heating effect. Bought 13499Rs with 10% discount in Amazon greatsale in jan22
"
96,"
Good phone in budget
"
97,"
YouTube video freezing problem
"
98,"
Phone hangs quite a lot ,even in you tube
"
99,"
Hi
"
100,"
After using 7 months I am writing here,any negative I couldn't find.Camera, performance, display, battery backup everything is fine.Definitely you can go for it.
"
101,"
Best
"
102,"
Nice phone
"
103,"
Nice
"
104,"
Nice
"
105,"
Nice
"
106,"
Not bad product this price
"
107,"
The Android 12 updation is the worst updation it crashes ever apps and freezes
"
108,"
Headset light and smooth working rear camera also good but front camera low  picture quality  compare to other redmi mobile at this price range. Design is to good, display work properly, on an average good mobile. Like it
"
109,"
display,performane,charging speed are good
"
110,"
Camera quality is cheaper than vivo
"
111,"
I will say no if you all looking for gaming phone, I used it for 15day. 200% no because applications also not working according. about the cam no use .
"
112,"
Nice one
"
113,"
Camera quality not that good but ok.
"
114,"
Product delivered on time and phone working fine. Good deal from Amazon.
"
115,"
The Redmi Note 10S is a slightly more powerful version of the Redmi Note 10. The Redmi Note 10S is a relatively slim smartphone, measuring 8.29mm, and it weighs 179g. The polycarbonate back is curved along the sides which makes it comfortable to hold.It has a 64-megapixel primary camera,6.43-inch AMOLED display with Corning Gorilla Glass 3,stereo speakers with a speaker each on the top and bottom,An IR emitter, USB Type-C port and 3.5mm headphone jack,IP53 dust and water resistance,a rubber flange around the SIM tray to help prevent water from entering the device.Battery 5,000 mAh, a 33W charger in the box.The Redmi Note 10S packs in a more powerful MediaTek Helio G95 processor than the Qualcomm Snapdragon 678 in the Redmi Note 10. This processor is paired with 6GB of LPDDR4X RAM, 64/128 Gb UFS 2.2 storage.an AMOLED display with a full-HD+ resolution and a peak brightness of 1100 nits.The Redmi Note 10S supports Bluetooth 5, dual-band Wi-Fi, VoLTE, and VoWiFi. It is a dual-SIM device and can use two Nano-SIMs. Android 11
"
116,"
I like everything about the phone even camera is good...👍
"
117,
118,"
Everything is very good
"
119,"
Mobaile bill nhi aya
"
120,"
Camera Quality is very poor,Battery is not more than 6 hours after 3 months,Hanging after software upgradeGood Screen quality
"
121,"
Superb quality products so very very good quality sound
"
122,"
3 month me kharab ho Gaya phone ye
"
123,
124,"
This is a review of the shadow black 6GB, 128 GB model after moderately using it for 2 days...The Pros:-1. RF signal receptor: Definitely good and better than my Samsung F41, M30 as it always showed less signal bars for both VI and airtel connections at my home whereas Redmi 10S shows full signal bars. It also shows at the time of calling and browsing as the better network quality gives hd vocie clarity keeping VOLTE mode on and good mobile data speed.2. Wifi receptor:- Good again and beter than my previously used F41, M30 and Vivo Z1x as these had fluctuating signal strength shown from the wifi routers kept at a distance of 15m, but not in the case of Redmi 10S. So thumbs up to that.3. Display:- Good AMOLED display with dot hole design of front camera, brightness and colour reproduction is good as you can expect from amoled display, no complain on this front as both online and offline videos gave good quality (checked on MX player, youtube, Sony liv, Hot star)4. Sound on Stereo speakers:- This one is definitely above most of the other phones of this price segment as it got dual stereo speakers, the loudness and stereo effect is evident while playing video without headphones.5. Fingerprint Sensor : Quite good and seamlessly worked for me without even pressing the power button, I mean you can only touch the button to unlock the mobile with registered finger.6. Camera : Back and Front cameras briefly tested and found OK, I am occassional user of mobile camera so did not emphasise on it's use, however the photo clarity was good in daylight and in indoor condition as per me.7. Gaming: Quite regular with the mobile PES and that game demands resources while playing against online opponent. This mobile runs the game smoothly as expected and did not lag. However I did not use any heavier action game to check the capability of the processor..Battery Life: - What you can expect from a 5000 mAH battery. It runs for the day with good usage, that is all I needed.Cons:-1. Heating Issue: I found this mobile to be hot in the top side area beside camera assembly if I run a game or some video for some time. The heat is not too much but quite annoying to feel.2. Sound with headphones:- I found the sound though headphones (Sony) to be not much loud, the same headphone gave me better result on Vivo Z1x.3. AOD:- This one is definitely the worse I have ever seen! Always On Display is quite old feature now, have never seen any issue in my Samsung or Vivo mobiles, but this AOD on Redmi 10S never wants to stay on! It just shows for 10 seconds and then automatically turns off, This must be a software bug and can be fixed by MI in next software update I believe...Overall I am happy with the handset as it looks and feels good to hold and has all the good features you expect from a medium segment phone in the market.
"
125,"
It is very comfortable to use. It has a loud speaker and everthing else is fineBut it has problem, after a 10 minutes of gaming the phone startes to heat up
"
126,"
Best product with this budget range 👍
"
127,"
Awesome
"
128,"
Better for normal usage
"
129,"
Nice feature and look, display is awesome and fast process
"
130,"
Good
"
131,"
Touch is very hard not smooth.Camera very poor quality.Some problems in be calling.Touch is not perfect.Some times suddenly hung in mobile.Totally worste mobile mi note 10s.
"
132,"
In 2022 on that price range this product provided better value from other options
"
133,"
Worst product, do not buy this
"
134,"
Good
"
135,"
avrg.
"
136,"
While this is an excellent value for money product, one thing every buyer should keep in mind the marketing gimmicks which phone companies do.My wife is using 2.5 years old Note 8 pro. It is going awesome. This phone (Note 10s) is just a slight upgrade over that phone. These companies do not launch new models. They just rebrand the old ones like old wine in new bottle and sell it to us. There is no difference in performance over its 2.5 years old counterpart.
"
137,"
Fast charging is good, fingerprint reader is good,Battery life is okay, at times it hangs and got heaten upBut I bought it in 12k so it's fine for me
"
138,"
I like that product
"
139,"
The phone was hyped so much during launch. It is similar to ordinary mi phones. If you are searching a gaming phone, don't go for this.. After heavy gaming uses the phone will start lagging in normal operations also. The phone us having issues during software updates. My phone started rebooting during software update and i had to wipe all data to make the phone working. Lost all my data.. The camera is normal similar to other phone camera. There is nothing like 64mp. The photos are ordinary.Average phone..
"
140,"
Everything is good but camera quality is poor and device has heating issues. But it's okay for the price. Got it for 11499 with bank offers
"
141,"
Super
"
142,"
Nice mobile but camera is very low quality
"
143,"
The phone is good for normal daily use
"
144,"
The back camera is good but the front camera is not good. The photos were blurry. Not satisfied with the front camera.
"
145,"
Not that Good Hangs a lot
"
146,"
Lets Talk About Redmi 10s Little Deeply I although Know About this device but Not Properly Frst I dont know About That Video Extra Sharpness So Make Sure u r buying this Smartphone Which Has Problem With Utube videos Either Netflix Prime etc When it comes to below 720 it looks Really rubbish But in 1080p Ee Can Say Ok ok Not that Great Amoled display works Fine But Video Got extra Sharpen N also Idk Whts wrong with its camera front cam Really sucks Either idk How to operate cz Its My secondry phone I am Ios User Miui is Good fon is Good In use Vibration Haptics Are excellent Display N stereo Speakers Are good not that Too bassy But yeah Preety good n loud When volume is more than 75% in Case Of Games Amm Literally K posting this In April End So In summer in Case Of Gaming Naa U Cant Play games cz it Heats up alot Play In Ac room AtleastMain Problem Is The Display Over sharpness In VideoAnd Lil Bit problems Are Heating in Gaming N front cam Sucks Rear is Ok ok
"
147,"
Battery back up is not good camera is not good.
"
148,"
Good
"
149,"
Ok
"
150,"
Recently purchased the product with in 6months having lot of issues with the product went to service centre first one they said receiver issue they said they replaced it having same issue went to another service centre they said issue with microphone and they replaced we still having the same issue (Voice) we need replacement as the product is with in the 1year period
"
151,"
Value For money as compare to Note 11 series
"
152,"
Good performance for the price
"
153,"
Pros:Good DesignFast chargingCons:Poor Ram management, doesn't feels like 6GBPhone hangs frequently eith Android autoVideo playback on YouTube & other video streaming platform will suddenly stop working, need to re start the phone
"
154,"
This phone is one of the best mid range phone offers high performance but battry life is bit low after usage of almost one year it has been downgraded to 4190 mah
"
155,"
Very good budget phone
"
156,"
Nice picture quality
"
157,"
Camera is Decent
"
158,"
Very nice usage
"
159,"
Osm phone..for purchase
"
160,"
Good quality smartphonr
"
161,"
Excellent
"
162,"
Nice mobile👍
"
163,"
Lovely phone
"
164,"
Ok
"
165,"
Nice
"
166,"
Sandar
"
167,"
Video stabilization is not there which is disappointing
"
168,"
Battery not working properlyHeating issueCamera quality Avarage
"
169,"
Not as good as expected, facing display issues and nerwork issues
"
170,"
Just ok product... On this price range there are several mobile available
"
171,"




                    The media could not be loaded.
                


"
172,
173,"
Best phone in this range
"
174,"
Color is good but camera is not good at night.
"
175,"
The phone is absolutely well designed for a normal hand fit the Pros are:1)the procecer is phenomenal at handling daily tasks and some light gaming does not hurt ither.2)the dual speaker are I dare say best in the segment they are crisp Anda have a small amount of bass the loudness is ample for a small room.3)the screen is 60hz so no super smooth display but the amoled is a big plus.Now to the cons:1)the battery does not have a lot to speak about got like 4.5 hrs of screen on time.2) the finger print placement is good and the finger print scanner is blazing fast but the accidental unlock 's is a big issue.3)the ui is fluid but the system has butt load of bloatware.Overall conclusion if your budget is around this price definitely go for this phone it's a solid overall package.
"
176,"
Shi chla rha h abhible skte ho hmm to 5e se 3 rete krenge
"
177,"
Worth it
"
178,"
I love this
"
179,"
I got it for 11.7k during sale in October. 6/64gb.I have been using it since then, found these pros and cons.Pros -Good hardware (G95) at this price!Good fingerprint!Charging & battery life is ""Okay""!No major heating issue!Amoled screen is ""okay""!Cons-Dual speakers? Lol!Well, if right speaker has 1 watt, then left speaker has 0.5 watt!! i.e, upper speaker has less sound compared to down speaker. Thats not at all like dual speakers!Just for marketing they have mentioned as ""Dual speakers"".Super Amoled?Amazon must review this! They are marketing as ""Super Amoled"" but on the box, it's clearly mentioned just ""Amoled"".It's just basic Amoled!!Not good under sun light.. you know what! If you view any images of B&W, it's even worst under Sun light!! Yes, ""Worst""!4k video playing is not smooth, seen stutters.Camera! (pics attached) 64MP is a joke!It just adds more mb to a normal picture!! And when zoomed in, it's like ""OIL PAINTING"", not at all sharp! Lacks details in the image!Bokeh is not at all uniform!!Dynamic range? You can check it in the pic attached! It's same even for rear cam!Hair near ears and eyelashes gets ""kajal"" i.e black painted automatically!! That's very awkward!!Night mode the most useless feature of this cam dept!EMI works good. Slow motion, 960fps records only for 3sec and gives output video of 10seconds only! Almost useless!No option to record Slo-mo in 1080p even though this hardware supports!Supports only 720p 120fps & 240fps in Slo-mo.Bokeh does good job when captured with Gcam mod!!This is pure failure of MI/Redmi!Even though the hardware supports some very good features, the software  disappoints this piece!If you have purchased this, you can raise this issue to the MI customer care and you should email them with these issues to get it fixed.They must work on it!I have raised complaint, if it gets fixed, I'll update here.Till then, you may need to have a look on other products.
"
180,
181,"
Review after 2 days using ...It's not a best phone ....But it's ok for this price range .Camera 3/5Battery 3/5Fingerprint 4/5Overall performance 3/5
"
182,
183,"
Very nice awesome
"
184,"
I bought this phone for only camera quality but it heats too much while using camera.After updating to miui 13 now its ui is not responding.
"
185,"
Ita a good budget phone for daily use+gaming
"
186,"
Ok
"
187,"
Mass
"
188,"
Good
"
189,"
The mobile us AVG but the MIUI 13 is worst .It has lots of bugs the  XIOMI need to fix the bugs as soon as possible and the camera is worstIf you want to buy under 14K i suggest samsung m32
"
190,"
After 1 match of bgmi it start heating but it gives 50 to 60 fps which is goodGood phone for daily usageBut I not recommend this for heavy gaming
"
191,"
It was offer that one year free subscription of Disney Hotstar.But didn't get it's only fake commitment for mobile sales.Rest all thing are good.Also mobile is getting while playing gane or using multiple at the same time.
"
192,"
Everything is not ok like before redmi phone
"
193,"
Good
"
194,"
Best in under 13k, except it's video recoding quality.
"
195,"
Battery life very baad
"
196,"
So lucky because of the Amazon and the seller Darshita with a very special price with unbelievable discount (11,749/-)Guys its Redmi and thats enough to explain your smart phone needPerfect handset afterall you have to look at price👍Stay safe
"
197,"
Not so bad fingerprint sensor is ok, battery life is good, but with camera not satisfied, phone is getting hang after playing games like BGMI
"
198,"
All good
"
199,"
Best battery life and smooth running
"
200,"
Good
"
201,"
Little bit costly as features consider, back camera is not like 64mp its like 48mp but good in this price range , front camera is ok .speed is good , screen is good ,charging speed  is an average not like 33w .its 18-20 watt, display is good,  before you made any judgment youbhave to adjust settings according to your choiceIf you are gamer this phone is not for you , otherwise its good for general purpose .Flash is ok, looking wise great , lightweight .Doesn't hangs ,reading mode ,bedtime mode ,google dialer and sms app pre-installed.,dedicated sd card slot available. If you have low budget and wish to have android premium like phone this phone is for you.go for it .. Xiaomi is known as best smartphone producer in India and this phone proves it again .
"
202,
203,"
Camera picture quality is very bad
"
204,"
This phone heat up after a normal gaming or heavy task
"
205,"
Good Quality
"
206,"
At price above 14k camera quality is so poor.battery is also not so good in service.
"
207,"
good mobile phone with low budget
"
208,"
Very nice mobile.
"
209,"
My Redmi Note 7 pro Has Better screen Quality as Compared to Redmi Note 10s.I played Vedio On both smartphone major Difference can be Seen.Note 10s Has poor Quality screen when Vedio Played In HD.
"
210,"
Camera doesnot fits as per the price
"
211,"
Very good
"
212,"
Best phone
"
213,"
👍
"
214,"
Value for moneySleek, nice to holdVibrant screen, clear pictureSuper Camera output
"
215,"
Camera is awesome of the phone and the battery backup is marvelous overall that phone is damn incredible😍
"
216,"
very good product
"
217,"
asome
"
218,"
Front camera quality & battery life is very bad...😡
"
219,"
Every thing is ok
"
220,"
Is phone me heating problem sabse jyada h
"
221,"
Camera quality very poor. Rest all ok
"
222,"
4g phone and 12 nano miter processer
"
223,"
He is a nice look in redmi note 10SBut redmi note 10pro this best😊
"
224,"
Camera quality average.. Its give you orginal colour.. Not beauty plus.. Sometimes i face hitting issues..
"
225,"
50000 mah is good but 6000mah battery should have been better. Overall nice phone at its price range
"
226,"
GoodHave to compromise in camera just littleOtherwiseMast h allrounder
"
227,"
1. In England. there is a Law which says you cannot record someone while talking to them on phone without taking permission. Now this is a law like 'You cannot download pirated films' , many people break this Law by downloading third party apps.2. To follow this Law, google introduced its own dialer and messaging apps. Now, in google dialer(which is present in this phone), you cannot RECORD CALLS .3. Even when you can, there are a lot of problems :-a) You can only automatically record unknown numbers. For contact, you have to select individually.b) Before recording the call, there will be a sound which says ""THIS CALL IS BEING RECORDED"", which pretty much makes the call recording useless.For example, if a scammer is calling you, and you tell him that you are recording, he might cut the call.4.) The camera is good, but the QUAD CAMERA SETUP is just a numbers game at this point. The 2 megapixel camera's are mostly useless.5) Since this phone uses GOOGLE DIALER and GOOGLE MESSAGING, it is VERY DIFFICULT to transfer you old messages and call history because of SOFTWARE BUGS which no one knows when Xiaomi or Google will fix.6) The camera bumb is big, though you can get a protective cover for that.7) Overall, the specs of this phone are good. The processor is good too. But the SOFTWARE issues make it useless.8) Calling and messaging are basic functions, if a phone is bad at them, it does not matter how much FPS you get in PUBG9) I am a student and buying a phone from my parents money. So I returned this and I will buy Redmi note 9 ( a downgrade). It has the OP MIUI Dialer and Messaging. I might get 5-10 fps less in BGMI / PUPB but that is not that big of a problem.Thanks, AMAZON REVIEWER PLS ACCEPT THIS REVIEW ITS IMPORTANT OTHERWISE MANY PEOPLE WILL BE RETURNING THIS PHONE
"
228,"
Liked multimedia parts but camera performance is bad
"
229,"
Good
"
230,"
I like it
"
231,"
Fingerprint good battery good work and camera is not good
"
